g10	27	138	5p6-185,3p6-34,2p17-2,1p17-6,4p6-24,1p6-179
g10	607	59	9p6-14,12p6-8
g10	132	59	9p6-24,12p6-8
g10	492	6	5p6-174,3p6-20,1p17-2,2p17-18,4p6-13,1p6-54
g10	661	23	5p6-347
g10	309	5	1p6-30
g10	550	44	11p6-277
g10	1981	10	2p17-4
g10	2623	10	2p17-2
g10	494	15	7p17-1,2p17-8,1p17-2,7p6-18
g10	4	194	5p17-5,8p17-5
g10	1891	10	2p17-2
g10	7	742	6p17-312
g10	27	43	2p17-60
g10	688	15	7p6-11
g10	1105	15	7p17-4,2p17-6
g10	150	17	6p6-190
g10	2625	15	2p17-28
g10	1360	106	959p6-10782
g10	120	44	11p6-78
g10	271	1	1p17-2,1p6-169
g10	642	5	2p6-24,3p6-24,3p17-8,1p17-4,1p6-376,4p6-30
g10	49	17	6p6-169
g10	1006	34	5p6-93,3p6-40,1p17-4,4p6-24,1p6-749
g10	628	1	1p6-32
g10	973	5	1p17-2,1p6-210
g10	7	1056	6p17-520
g10	189	31	6p6-104
g10	7	384	4p6-6045
g10	1982	118	9p6-7,6p6-16
g10	695	91	6p6-45
g10	1977	3	2p17-2
g10	1983	3	2p17-2
g10	1339	15	7p6-30
g10	35	1	3p17-2,1p17-2,1p6-14,8p17-4
g10	36	3	2p17-2
g10	106	194	5p17-5
g10	1984	516	9p6-21
g10	1985	10	2p17-2
g10	1127	59	9p6-20,12p6-8
g10	100	1651	1504p6-24
g10	1588	10	2p17-4
g10	142	1	3p6-24,3p17-8,1p17-2,1p6-175,4p6-24
g10	1986	49	6p6-16
g10	1987	3	2p17-6
g10	22	44	11p6-272
g10	38	59	12p6-8
g10	1988	10	2p17-4
g10	496	146	5p6-78
g10	1666	6	2p17-72
g10	14	74	5p6-328,4290p6-263
g10	40	15	7p17-1,3p6-12,1p17-2,4p6-12,1p6-159
g10	637	44	11p6-16
g10	1341	74	4290p6-1035,5p6-4547
g10	1989	10	2p17-14
g10	196	579	26p6-792
g10	506	59	9p6-31,12p6-8
g10	42	59	9p6-46,12p6-8
g10	977	59	9p6-48,12p6-8
g10	1393	3	2p17-22
g10	41	3	2p17-12
g10	1343	5	1p17-122,1p6-46
g10	520	44	11p6-266
g10	100	419	228p6-37,3774p6-26
g10	1032	236	4p17-2
g10	63	6	2p17-40
g10	627	59	9p6-12,12p6-8
g10	414	1	3p17-10,1p17-26,1p6-725,8p17-60
g10	64	15	2p17-2
g10	1762	65	10p17-6150
g10	1952	3	2p17-2
g10	194	8	5p17-1
g10	512	10	2p17-4
g10	901	118	6p6-183
g10	155	6	2p17-18
g10	984	19	4p17-2
g10	875	44	11p6-38
g10	1597	3	2p17-4
g10	1990	3	2p17-2
g10	1120	15	2p17-42
g10	911	59	9p6-101,12p6-8
g10	1421	184	3226p6-605
g10	1224	3	2p17-84
g10	60	385	2810p6-124698
g10	3	10	2p17-60
g10	147	59	9p6-33,12p6-8
g10	1143	5	5p6-1587,3p6-40,1p17-2,4p6-24,1p6-317
g10	300	138	1p17-2,1p6-40
g10	7	1132	6p17-2614
g10	1991	3	2p17-2
g10	1889	3	2p17-4
g10	415	15	1p17-2,2p17-94,1p6-151
g10	405	6	5p6-252,3p6-20,1p17-2,2p17-22,4p6-12,1p6-29
g10	1992	10	2p17-2
g10	434	1	5p6-104
g10	764	59	9p6-32,12p6-8
g10	368	3	2p17-4
g10	189	1593	6p6-67
g10	1558	3	2p17-2
g10	1178	15	2p17-12
g10	72	562	537p6-2333
g10	1479	1	3p6-26,3p17-2,1p17-2,4p6-24,1p6-172
g10	1993	10	2p17-2
g10	113	17	6p6-173
g10	30	394	8p6-17454
g10	848	3	2p17-2
g10	1063	3	2p17-4
g10	50	6	3p6-23,3p17-8,1p17-4,2p17-48,7p6-131,4p6-12
g10	409	138	2p17-2,1p6-185
g10	608	330	78p6-6556
g10	278	6	7p17-1,1p17-2,2p17-26,1p6-174
g10	69	3	2p17-2
g10	506	44	11p6-76
g10	607	74	4290p6-2
g10	206	5	5p6-149,3p6-20,1p17-4,7p6-53,4p6-12,1p6-26
g10	1403	10	2p17-4
g10	203	49	6p6-19
g10	963	6	2p17-48
g10	799	1994	9p6-8
g10	72	5	3p17-8,1p17-2,7p6-16
g10	1569	6	7p17-2,2p17-314
g10	1100	450	16p17-720
g10	1282	59	9p6-13,12p6-8
g10	2246	3	2p17-4
g10	184	17	6p6-415
g10	79	59	9p6-14,12p6-8
g10	51	74	4290p6-2
g10	988	392	443p6-191
g10	267	44	11p6-30
g10	1101	44	11p6-89
g10	1995	3	2p17-6
g10	952	10	2p17-2
g10	1348	6	2p17-668,1p17-104
g10	7	1481	6p17-312
g10	904	15	7p17-14,2p17-218
g10	60	714	13p6-621
g10	255	385	744p6-29146
g10	1212	10	2p17-2
g10	7	449	6p17-1428
g10	1996	100	10p17-24
g10	8	1	2p17-22
g10	92	59	12p6-8
g10	646	10	2p17-2
g10	1526	61	9p17-63
g10	941	519	87p17-16,5p17-10
g10	580	74	4290p6-2
g10	560	15	1p17-2,1p6-89
g10	1997	3	2p17-2
g10	155	17	6p6-156
g10	1497	6	2p17-12
g10	355	1	5p6-95,3p17-6
g10	55	15	2p17-242
g10	853	43	1p17-2,2p17-54,7p6-88
g10	1041	10	2p17-4
g10	56	10	2p17-10
g10	984	79	17p6-150
g10	2517	10	2p17-2
g10	389	59	9p6-68,12p6-8
g10	312	256	35p6-4873,437p6-782,438p6-2882,439p6-1080
g10	194	379	5p17-1,8p17-462
g10	1023	15	5p6-55,1p17-2
g10	73	516	9p6-256
g10	435	43	1p17-2,2p17-32,1p6-155
g10	74	1102	6p17-238
g10	43	59	9p6-14,12p6-8
g10	80	60	75p6-18
g10	772	61	9p17-64
g10	697	49	6p6-17
g10	92	44	11p6-73
g10	760	59	9p6-35,12p6-8
g10	75	3	2p17-2
g10	870	44	11p6-87
g10	99	59	9p6-13,12p6-8
g10	1937	65	10p17-9575
g10	2617	3	2p17-2
g10	74	1482	6p17-208
g10	1998	516	9p6-12
g10	1999	43	1p17-4,1p6-26
g10	2467	49	6p6-19
g10	700	44	11p6-38
g10	763	1	5p6-3951,3p6-21,1p17-2,4p6-12,1p6-286
g10	647	43	1p17-8,1p6-52
g10	157	6	2p17-58
g10	24	44	11p6-39
g10	2000	3	2p17-2
g10	216	235	35p6-14579,38p6-801,39p6-14333,4p6-487
g10	1310	194	5p17-4
g10	395	15	2p6-12,3p6-24,1p17-4,4p6-27,1p6-2750
g10	59	194	5p17-4
g10	289	5	5p6-2540,2p6-12,3p6-43,3p17-4,1p17-18,2p17-16,7p6-169,1p6-68,4p6-21
g10	634	15	7p17-3,2p17-88
g10	1105	59	9p6-23,12p6-8
g10	440	15	2p6-12,3p6-36,2p17-4,1p17-2,4p6-39
g10	1275	128	5p17-1,8p17-345
g10	2001	118	9p6-8,6p6-15
g10	481	74	5p6-1031,4290p6-779
g10	100	859	4159p6-292
g10	2002	118	9p6-8,6p6-19
g10	7	78	6p17-4530
g10	2011	3	2p17-2
g10	811	105	1011p17-758,1012p17-202769
g10	1582	3	2p17-2
g10	1032	61	9p17-65
g10	287	74	4290p6-1800,5p6-2302
g10	334	1	1p17-2,7p6-66
g10	1317	6	2p17-72
g10	105	960	9p6-2539168
g10	2003	516	9p6-11
g10	7	1772	6p17-680
g10	2533	10	2p17-2
g10	22	1036	8p6-10797
g10	621	23	5p6-105
g10	2134	10	2p17-2
g10	37	1643	3p6-24,4p6-162
g10	101	59	9p6-22,12p6-8
g10	104	43	5p6-104,3p6-20,2p17-46,1p17-2,7p6-28,4p6-12
g10	1351	5	1p17-8,1p6-229
g10	7	1788	6p17-480
g10	106	994	9p6-60
g10	74	1774	6p17-262
g10	83	15	3p6-12,1p17-4,2p17-20,4p6-12,14p6-17
g10	1178	44	11p6-74
g10	247	61	9p17-7
g10	1605	65	10p17-562001
g10	598	6	2p17-224,1p17-18,7p6-96,1p6-34
g10	1339	44	11p6-27
g10	196	86	26p6-681
g10	249	43	1p17-6,1p6-36
g10	168	184	31p6-1234,32p6-28,34p6-1800
g10	1485	236	4p17-2
g10	151	44	11p6-36
g10	206	385	744p6-7556
g10	151	60	75p6-18
g10	251	10	2p17-2
g10	1838	10	2p17-2
g10	60	935	13p6-774
g10	1843	3	2p17-4
g10	307	44	11p6-40
g10	100	315	2786p6-10
g10	22	216	1787p6-805,4p6-484
g10	7	1556	6p17-2084
g10	2607	3	2p17-6
g10	1097	59	9p6-14,12p6-8
g10	1487	236	4p17-2
g10	5	59	9p6-46,12p6-8
g10	37	1007	2p6-497,4p6-466
g10	1853	3	2p17-14
g10	2640	3	2p17-2
g10	1488	10	2p17-4
g10	89	884	6p6-7502
g10	168	138	1p17-2,1p6-18
g10	15	1723	6p6-22
g10	1011	138	5p6-105,2p17-12,1p17-2,7p6-28,1p6-150
g10	184	967	1849p6-528
g10	1352	100	10p17-9201
g10	211	86	13p6-26
g10	64	44	11p6-264
g10	2485	3	2p17-8
g10	1610	10	2p17-4
g10	74	1249	6p17-250
g10	74	1822	6p17-208
g10	2600	10	2p17-8
g10	211	465	13p6-26
g10	109	15	2p17-6
g10	2058	10	2p17-4
g10	303	6	1p17-12,2p17-548,7p6-124,1p6-93
g10	791	15	5p6-5693,3p6-93,1p17-8,2p17-110,4p6-51,1p6-1087
g10	196	935	26p6-432
g10	281	44	11p6-20
g10	799	194	5p17-5
g10	456	74	4290p6-2
g10	574	59	12p6-8
g10	65	313	1p6-9267
g10	2004	10	2p17-4
g10	2005	49	6p6-35
g10	140	1	5p6-213,2p6-2562,3p6-147,1p17-16,1p6-380,4p6-39
g10	1251	61	9p17-63
g10	1011	157	444p6-916
g10	1645	6	5p6-105,2p17-44,1p17-4,7p6-16,14p6-17
g10	2006	10	2p17-4
g10	1892	3	2p17-4
g10	216	5	1p17-4,7p6-29
g10	1355	10	2p17-6
g10	1569	15	7p17-2
g10	1503	44	11p6-84
g10	1006	513	5p6-3206
g10	704	44	11p6-27
